CEMP_IND,Indicators,LOCATION,Country,TIME,Time,Value,Flag Codes,Flags
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,BOL,Bolivia (Plurinational State of),2015,2015,57502,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,BIH,Bosnia and Herzegovina,2014,2014,27367.8,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,BIH,Bosnia and Herzegovina,2015,2015,23718.1,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,BGR,Bulgaria,2014,2014,24981.1,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,BGR,Bulgaria,2015,2015,26864.1,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,CHL,Chile,2013,2013,30883.5,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,CRI,Costa Rica,2015,2015,27093.8,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,DOM,Dominican Republic,2013,2013,14532.7,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,ECU,Ecuador,2013,2013,4895.6,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,ECU,Ecuador,2015,2015,39652,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,SLV,El Salvador,2013,2013,7601.9,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,EST,Estonia,2014,2014,32123,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,EST,Estonia,2015,2015,47370.5,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,HND,Honduras,2010,2010,26092.8,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,HND,Honduras,2015,2015,38720.1,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,ISR,Israel,2014,2014,32132.6,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,LVA,Latvia,2014,2014,50006.7,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,LVA,Latvia,2015,2015,47874.5,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,LTU,Lithuania,2014,2014,28720.3,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,LTU,Lithuania,2015,2015,31788.4,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,MKD,The former Yugoslav Republic of Macedonia,2014,2014,23003.9,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,MKD,The former Yugoslav Republic of Macedonia,2015,2015,21551.2,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,MYS,Malaysia,2014,2014,21774,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,MYS,Malaysia,2015,2015,24668.2,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,MLI,Mali,2014,2014,24053.7,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,MLI,Mali,2015,2015,40764.4,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,MLT,Malta,2014,2014,46173.5,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,MLT,Malta,2015,2015,34648.5,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,MDA,Republic of Moldova,2014,2014,18321.8,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,MDA,Republic of Moldova,2015,2015,19416.8,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,MNG,Mongolia,2014,2014,22323.8,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,MOZ,Mozambique,2014,2014,13358,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,NIC,Nicaragua,2009,2009,19635.1,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,PSE,Palestine,2014,2014,7039.7,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,PSE,Palestine,2015,2015,8674.5,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,PAK,Pakistan,2014,2014,39370.6,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,PAK,Pakistan,2015,2015,43120,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,PAN,Panama,2013,2013,33402.7,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,PAN,Panama,2016,2016,30327.4,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,PRY,Paraguay,2010,2010,36253.1,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,PER,Peru,2013,2013,33895.5,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,PHL,Philippines,2014,2014,17631,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,PHL,Philippines,2015,2015,17292.5,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,PRI,Puerto Rico,2014,2014,14878,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,PRI,Puerto Rico,2015,2015,18464,,
